
                              Протокол измерения
                        прибором ИТ-6 от 13.09.2024

Время   	Т1,°C	М1 К1	М1 К2	М1 К3	М1 К4	М1 К5	М1 К6	М1 К7	М1 К8	М1 К9	М1 К10	М1 К11	М1 К12	М1 К13	М1 К14	М1 К15	М1 К16	
        		°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	
        		(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	
07:53:24	-15,6	2,170	2,144	2,594	-0,916	1,028	2,218	0,520	1,443	0,865	0,817	0,817	0,622	-5,364	0,038	1,013	0,304	
08:53:24	-15,6	2,230	2,195	2,656	-0,880	1,062	2,292	0,558	1,482	0,849	0,857	0,828	0,622	-5,348	0,081	1,030	0,332	
09:53:24	-14,2	0,744	0,860	1,367	-1,976	-0,010	1,291	-0,438	0,494	0,743	0,717	0,726	0,516	-5,058	-0,419	0,382	-0,521	
10:53:24	-14,2	1,049	1,078	1,607	-1,745	0,156	1,475	-0,295	0,694	0,789	0,769	0,760	0,544	-4,959	-0,353	0,495	-0,365	
11:53:24	-14,4	0,497	0,605	1,159	-2,158	-0,197	1,129	-0,635	0,337	0,593	0,585	0,595	0,422	-5,147	-0,609	0,254	-0,731	
12:53:24	-16,2	0,304	0,705	1,209	-2,098	-0,095	1,221	-0,615	0,253	0,150	0,078	0,174	-0,010	-5,816	-0,881	-0,005	-0,989	
13:53:24	-14,6	1,594	1,547	2,031	-1,453	0,525	1,753	0,017	1,066	0,921	0,932	0,891	0,672	-4,981	-0,231	0,774	-0,050	
14:53:24	-15,0	-0,334	-0,049	0,533	-2,858	-0,691	0,617	-1,199	-0,242	0,243	0,164	0,227	0,074	-5,964	-1,131	-0,317	-1,439	
15:53:24	-15,2	-0,373	-0,051	0,507	-2,857	-0,658	0,623	-1,227	-0,231	0,150	0,081	0,172	-0,039	-6,031	-1,195	-0,314	-1,464	
16:53:24	-14,5	-0,062	0,160	0,715	-2,730	-0,533	0,714	-1,109	-0,079	0,299	0,278	0,317	0,140	-5,827	-1,078	-0,115	-1,303	
17:53:24	-15,6	-0,453	-0,075	0,496	-2,905	-0,679	0,565	-1,315	-0,310	-0,029	-0,086	0,039	-0,132	-6,218	-1,321	-0,353	-1,609	
18:53:24	-16,0	1,909	1,955	2,361	-1,208	0,854	1,997	0,120	1,232	0,448	0,428	0,411	0,224	-5,816	-0,656	0,660	-0,421	
19:53:24	-16,3	0,896	1,154	1,612	-1,838	0,312	1,461	-0,408	0,583	0,217	0,167	0,215	0,061	-5,843	-0,903	0,291	-0,928	
20:53:24	-14,4	-0,036	0,137	0,646	-2,786	-0,539	0,647	-1,236	-0,094	0,231	0,210	0,217	0,052	-6,024	-1,240	-0,159	-1,497	
21:53:24	-15,6	0,056	0,411	0,905	-2,440	-0,225	0,881	-1,037	0,057	-0,053	-0,074	-0,022	-0,146	-6,213	-1,345	-0,160	-1,549	
22:53:24	-14,3	1,084	1,019	1,445	-1,983	0,172	1,240	-0,620	0,634	0,526	0,510	0,486	0,326	-5,539	-0,915	0,393	-0,947	
23:53:24	-14,4	1,716	1,601	2,010	-1,493	0,626	1,658	-0,236	1,066	0,644	0,644	0,598	0,403	-5,454	-0,750	0,690	-0,644	
00:53:24	-14,5	1,703	1,579	1,961	-1,506	0,643	1,631	-0,233	1,063	0,610	0,612	0,541	0,322	-5,605	-0,820	0,679	-0,760	
01:53:24	-14,3	1,415	1,316	1,683	-1,774	0,415	1,395	-0,457	0,836	0,580	0,589	0,559	0,367	-5,476	-0,815	0,588	-0,795	
02:53:24	-15,5	-0,065	0,227	0,669	-2,642	-0,327	0,658	-1,262	-0,088	-0,170	-0,183	-0,133	-0,248	-6,452	-1,559	-0,242	-1,923	
03:53:24	-14,3	1,712	1,586	1,928	-1,496	0,653	1,573	-0,311	1,042	0,545	0,578	0,501	0,354	-5,568	-0,875	0,694	-0,854	
04:53:24	-15,3	-0,418	-0,082	0,345	-2,842	-0,512	0,426	-1,510	-0,332	-0,294	-0,303	-0,209	-0,340	-6,584	-1,800	-0,416	-2,258	
05:53:24	-15,2	1,189	1,271	1,627	-1,720	0,491	1,384	-0,545	0,739	0,180	0,181	0,183	0,020	-6,046	-1,256	0,337	-1,381	
06:53:24	-13,8	0,161	0,295	0,687	-2,487	-0,259	0,634	-1,282	0,055	0,060	0,083	0,124	-0,056	-5,548	-1,563	-0,097	-2,045	
07:53:24	-15,7	0,210	0,460	0,812	-2,428	-0,092	0,743	-1,140	0,081	-0,151	-0,183	-0,118	-0,219	-6,282	-1,571	-0,086	-2,016	
08:53:24	-14,2	-0,606	-0,459	-0,037	-3,192	-0,798	0,063	-1,811	-0,478	-0,117	-0,129	-0,053	-0,192	-6,562	-1,876	-0,463	-2,553	
09:53:24	-14,9	1,821	1,681	1,934	-1,396	0,790	1,560	-0,329	1,100	0,365	0,364	0,311	0,201	-5,786	-1,063	0,714	-1,141	
10:53:24	-15,8	-0,320	-0,033	0,305	-2,791	-0,457	0,399	-1,563	-0,257	-0,391	-0,395	-0,335	-0,401	-6,777	-1,977	-0,393	-2,550	
11:53:24	-14,8	-1,019	-0,756	-0,376	-3,434	-1,083	-0,211	-2,104	-0,780	-0,363	-0,367	-0,261	-0,374	-6,779	-2,114	-0,673	-3,004	
12:53:24	-15,1	-0,048	0,124	0,476	-2,501	-0,396	0,384	-1,503	-0,160	-0,566	-0,501	-0,429	-0,574	-5,671	-2,133	-0,459	-2,806	
13:53:24	-15,4	-1,076	-0,769	-0,433	-3,490	-1,031	-0,238	-2,113	-0,778	-0,512	-0,524	-0,418	-0,530	-7,023	-2,273	-0,767	-3,221	
14:53:24	-14,1	0,461	0,349	0,615	-2,605	-0,277	0,490	-1,398	0,187	0,124	0,159	0,170	0,039	-6,261	-1,696	0,057	-2,294	
15:53:24	-14,3	0,984	0,841	1,067	-2,143	0,101	0,815	-1,029	0,531	0,263	0,257	0,257	0,108	-6,007	-1,552	0,313	-2,055	
16:53:24	-14,3	0,204	0,156	0,384	-2,693	-0,421	0,307	-1,520	0,038	0,016	0,076	0,079	-0,046	-6,308	-1,863	-0,053	-2,589	
17:53:24	-15,2	-0,792	-0,565	-0,280	-3,253	-0,912	-0,139	-2,028	-0,593	-0,461	-0,431	-0,339	-0,415	-6,792	-2,292	-0,563	-3,243	
