
                              Ïðîòîêîë èçìåðåíèÿ
                        ïðèáîðîì ÈÒ-6 îò 15.09.2024

Âðåìÿ   	Ò1,°C	Ì1 Ê1	Ì1 Ê2	Ì1 Ê3	Ì1 Ê4	Ì1 Ê5	Ì1 Ê6	Ì1 Ê7	Ì1 Ê8	Ì1 Ê9	Ì1 Ê10	Ì1 Ê11	Ì1 Ê12	Ì1 Ê13	Ì1 Ê14	Ì1 Ê15	Ì1 Ê16	
        		°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	
        		(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	(L)	
17:08:05	-0,2	0,942	0,772	0,831	0,368	0,409	0,578	0,335	0,476	0,019	0,101	0,070	0,040	-0,084	0,086	0,364	0,362	
17:09:05	-0,2	1,087	0,871	0,948	0,504	0,544	0,685	0,440	0,585	0,122	0,158	0,148	0,107	-0,020	0,175	0,451	0,461	
17:10:05	-0,5	1,727	1,466	1,534	0,948	0,968	1,111	0,869	1,039	0,310	0,394	0,346	0,344	0,275	0,429	0,855	0,913	
17:11:05	-1,0	2,169	1,841	1,859	1,307	1,274	1,372	1,163	1,287	0,443	0,488	0,471	0,435	0,392	0,665	1,123	1,264	
17:12:05	-1,5	2,454	2,120	2,123	1,515	1,472	1,553	1,343	1,487	0,455	0,537	0,518	0,498	0,493	0,796	1,265	1,463	
17:13:05	-2,1	2,660	2,312	2,300	1,662	1,619	1,722	1,444	1,595	0,449	0,520	0,482	0,504	0,516	0,832	1,378	1,551	
17:14:05	-2,7	2,790	2,435	2,390	1,772	1,727	1,792	1,525	1,681	0,408	0,505	0,455	0,462	0,504	0,886	1,423	1,651	
17:15:05	-3,4	2,843	2,485	2,475	1,798	1,768	1,833	1,568	1,700	0,346	0,440	0,402	0,452	0,495	0,875	1,444	1,658	
17:16:05	-4,1	2,834	2,517	2,511	1,872	1,789	1,861	1,567	1,691	0,292	0,383	0,353	0,419	0,463	0,861	1,443	1,637	
17:17:06	-4,8	2,815	2,506	2,456	1,836	1,777	1,847	1,567	1,684	0,213	0,309	0,317	0,363	0,377	0,827	1,403	1,632	
17:18:06	-5,4	2,753	2,410	2,446	1,802	1,749	1,805	1,525	1,640	0,160	0,274	0,284	0,333	0,120	0,787	1,384	1,564	
17:19:06	-6,0	2,669	2,373	2,376	1,773	1,713	1,775	1,478	1,586	0,124	0,202	0,240	0,281	-0,065	0,728	1,331	1,526	
17:20:06	-6,6	2,602	2,302	2,321	1,687	1,659	1,715	1,408	1,532	0,094	0,194	0,170	0,230	-0,254	0,686	1,260	1,439	
17:21:06	-7,2	2,504	2,215	2,223	1,644	1,576	1,653	1,382	1,467	0,033	0,130	0,115	0,187	-0,359	0,652	1,202	1,356	
17:22:06	-7,8	2,407	2,162	2,164	1,585	1,539	1,614	1,337	1,408	-0,013	0,032	0,082	0,159	-0,514	0,598	1,136	1,292	
17:23:06	-8,3	2,331	2,069	2,079	1,495	1,463	1,544	1,248	1,323	-0,060	0,072	0,078	0,145	-0,634	0,572	1,106	1,220	
17:24:06	-8,8	2,226	1,971	2,052	1,437	1,407	1,474	1,187	1,277	-0,072	0,015	0,040	0,102	-0,740	0,520	1,051	1,157	
17:25:06	-9,3	2,145	1,938	1,957	1,384	1,363	1,412	1,135	1,203	-0,088	-0,010	0,022	0,080	-0,836	0,489	0,996	1,104	
17:26:06	-9,7	2,057	1,858	1,896	1,324	1,289	1,379	1,094	1,162	-0,106	-0,028	0,009	0,058	-0,971	0,436	0,937	1,033	
17:27:06	-10,1	2,000	1,783	1,837	1,278	1,258	1,329	1,056	1,131	-0,126	-0,042	-0,020	0,064	-1,082	0,465	0,901	0,997	
17:28:06	-10,5	1,925	1,735	1,788	1,232	1,209	1,290	1,045	1,070	-0,115	-0,027	-0,005	0,045	-1,160	0,444	0,884	0,963	
17:29:06	-10,9	1,905	1,707	1,757	1,188	1,160	1,293	0,989	1,020	-0,151	-0,045	-0,019	0,032	-1,270	0,402	0,855	0,934	
17:30:06	-11,3	1,834	1,649	1,705	1,132	1,157	1,245	0,964	1,012	-0,163	-0,066	-0,049	0,043	-1,372	0,377	0,840	0,892	
17:31:06	-11,7	1,759	1,601	1,630	1,098	1,102	1,203	0,929	0,974	-0,161	-0,092	-0,065	0,027	-1,457	0,345	0,785	0,836	
17:32:06	-12,0	1,693	1,521	1,585	1,045	1,064	1,153	0,867	0,947	-0,188	-0,082	-0,074	-0,012	-1,589	0,342	0,765	0,814	
17:33:06	-12,4	1,677	1,493	1,566	1,005	1,018	1,125	0,829	0,926	-0,168	-0,080	-0,066	0,027	-1,675	0,310	0,706	0,790	
17:34:06	-12,7	1,632	1,449	1,546	0,966	1,017	1,105	0,819	0,879	-0,170	-0,110	-0,092	-0,017	-1,792	0,285	0,686	0,738	
17:35:06	-13,0	1,598	1,438	1,496	0,947	0,994	1,067	0,795	0,859	-0,195	-0,102	-0,072	-0,017	-1,852	0,277	0,672	0,698	
17:36:06	-13,3	1,550	1,411	1,460	0,908	0,981	1,048	0,787	0,837	-0,196	-0,123	-0,093	-0,023	-1,982	0,264	0,663	0,696	
17:37:06	-13,6	1,480	1,339	1,409	0,862	0,912	1,010	0,735	0,800	-0,212	-0,120	-0,110	-0,011	-2,051	0,241	0,658	0,644	
17:38:06	-13,9	1,474	1,317	1,405	0,830	0,907	1,021	0,706	0,777	-0,200	-0,121	-0,083	-0,020	-2,127	0,245	0,619	0,671	
17:39:06	-14,1	1,446	1,297	1,360	0,787	0,881	0,982	0,732	0,760	-0,231	-0,124	-0,102	-0,047	-2,261	0,237	0,622	0,602	
17:40:06	-14,4	1,379	1,258	1,323	0,777	0,857	0,967	0,686	0,726	-0,224	-0,132	-0,088	-0,031	-2,351	0,219	0,586	0,588	
17:41:06	-14,6	1,369	1,241	1,322	0,741	0,814	0,951	0,687	0,709	-0,229	-0,146	-0,105	-0,052	-2,409	0,178	0,561	0,560	
17:42:06	-14,9	1,326	1,189	1,280	0,732	0,806	0,904	0,632	0,686	-0,213	-0,153	-0,114	-0,064	-2,522	0,185	0,564	0,537	
17:43:06	-15,1	1,294	1,183	1,270	0,673	0,782	0,903	0,630	0,667	-0,226	-0,158	-0,129	-0,055	-2,591	0,176	0,524	0,528	
17:44:06	-15,3	1,252	1,124	1,227	0,644	0,774	0,875	0,615	0,639	-0,247	-0,164	-0,112	-0,062	-2,678	0,152	0,522	0,503	
